age,food_item,meal_category,review
54,Mac and Cheese,Spicy,and every bite was a joy!
15,Murukku,Seafood,The consistency was a bit strange; not what I expected.
22,Vegetable Biryani,Snacks,The texture was perfect
47,Malabar Fish Curry,Dessert,I found it to be too oily for my liking.
24,Aloo Tikki,Indian Curry,The overall experience was pleasant
41,Hot and Sour Soup,Snacks,The meal had great potential but ultimately fell short.
26,Samosa,Seafood,The overall experience was pleasant
11,Spicy Prawn Curry,Chinese,The ingredients felt fresh
17,Vada Pav,Spicy,The portion size was generous
55,Rajma,Chinese,though not memorable.
18,Rabri,Seafood,though not memorable.
43,Fish Curry,Healthy,The meal had great potential but ultimately fell short.
65,Aloo Tikki Chaat,Indian Curry,I enjoyed the freshness of the ingredients; it made a difference.
33,Spring Rolls,Snacks,The aroma was inviting
70,Fish Tikka,Cheesy,but the food was just average.
15,Samosa,Chinese,but I think it could use a bit more spice.
32,Cheesy Pasta,Dessert,The meal was satisfying
17,Chicken Vindaloo,Snacks,I was surprised by how bland the dish turned out to be.
47,Cheese Naan,Dessert,but I wouldn't order it again.
33,Dhokla,Seafood,I appreciated the effort put into the dish
59,Oats Upma,Vegan,but it missed the mark.
64,Goan Prawn Curry,Vegan,though not memorable.
29,Dim Sum,Street Food,but it missed the mark.
66,Tandoori Cauliflower,Seafood,but I feel there are better options available.
34,Tandoori Fish,Dessert,I appreciated the effort put into the dish
16,Chana Masala,Indian Curry,The service was excellent
44,Stuffed Bell Peppers,Street Food,and the taste did not disappoint.
68,Fried Rice,Indian Curry,The dish was average; I expected more based on the hype.
59,Butter Chicken,Snacks,though not memorable.
36,Aloo Gobi,Seafood,The meal was packed with flavor; I can't wait to have it again!
54,Tikki,Vegan,making it a memorable dish.
52,Dhokla,Cheesy,Absolutely loved the spices used; it was a delightful experience!
54,Grilled Paneer,Spicy,The consistency was a bit strange; not what I expected.
58,Dal Tadka,Dessert,Overall
30,Tandoori Fish,Vegan,I found it to be too oily for my liking.
26,Stuffed Bell Peppers,Chinese,It was quite disappointing; I expected a lot more flavor.
59,Dhokla,Vegan,The dish was well-prepared and the flavors were spot on!
40,Dhokla,Chinese,I was surprised by how bland the dish turned out to be.
37,Hakka Noodles,Seafood,I was surprised by how bland the dish turned out to be.
